Trip ID,Fleet Type,Driver,Origin,Destination,Drops on Trip,Utilisation (Load/Capacity),Risk Probability,Risk Level,Vehicle Capacity (CBM),Load Carried (CBM),Unused Capacity (CBM),Opportunity
TRIP-00242,Dedicated,Driver-21,Warehouse East,Outlet-053,7,0.677,0.8104127,CRITICAL,12,8.12,3.880000000000001,Potential Capacity Recovery
TRIP-00230,Dedicated,Driver-23,Warehouse East,Outlet-021,7,0.76,0.75882083,HIGH,12,9.12,2.880000000000001,No specific opportunity identified
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-022,8,0.728,0.7326478,HIGH,12,8.73,3.2699999999999996,Potential Capacity Recovery
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-032,8,0.728,0.72231305,HIGH,12,8.73,3.2699999999999996,Potential Capacity Recovery
TRIP-00242,Dedicated,Driver-21,Warehouse East,Outlet-073,7,0.677,0.71371424,HIGH,12,8.12,3.880000000000001,Potential Capacity Recovery
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-046,8,0.821,0.6936277,HIGH,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00230,Dedicated,Driver-23,Warehouse East,Outlet-055,7,0.76,0.68623716,HIGH,12,9.12,2.880000000000001,No specific opportunity identified
TRIP-00251,Dedicated,Driver-03,Warehouse North,Outlet-057,6,0.687,0.67013645,HIGH,12,8.24,3.76,Potential Capacity Recovery
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-031,8,0.821,0.6631504,HIGH,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00210,On-Call,Driver-20,Warehouse East,Outlet-033,6,0.695,0.64316905,HIGH,8,5.56,2.4400000000000004,N/A (On-Call trip)
TRIP-00256,Dedicated,Driver-23,Warehouse East,Outlet-034,5,0.675,0.6236446,HIGH,12,8.1,3.9000000000000004,Potential Capacity Recovery
TRIP-00257,Dedicated,Driver-04,Warehouse East,Outlet-037,4,0.669,0.6130343,HIGH,12,8.03,3.9700000000000006,Potential Capacity Recovery
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-026,8,0.728,0.61027294,HIGH,12,8.73,3.2699999999999996,Potential Capacity Recovery
TRIP-00257,Dedicated,Driver-04,Warehouse East,Outlet-018,4,0.669,0.6079558,HIGH,12,8.03,3.9700000000000006,Potential Capacity Recovery
TRIP-00255,Dedicated,Driver-29,Warehouse East,Outlet-047,7,0.669,0.6043091,HIGH,12,8.03,3.9700000000000006,Potential Capacity Recovery
TRIP-00210,On-Call,Driver-20,Warehouse East,Outlet-003,6,0.695,0.594166,MEDIUM,8,5.56,2.4400000000000004,N/A (On-Call trip)
TRIP-00248,Dedicated,Driver-21,Warehouse East,Outlet-075,5,0.713,0.59140784,MEDIUM,12,8.55,3.4499999999999993,No specific opportunity identified
TRIP-00230,Dedicated,Driver-23,Warehouse East,Outlet-020,7,0.76,0.58563274,MEDIUM,12,9.12,2.880000000000001,No specific opportunity identified
TRIP-00255,Dedicated,Driver-29,Warehouse East,Outlet-054,7,0.669,0.58458304,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00255,Dedicated,Driver-29,Warehouse East,Outlet-068,7,0.669,0.5750448,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00255,Dedicated,Driver-29,Warehouse East,Outlet-012,7,0.669,0.57252556,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00217,Dedicated,Driver-11,Warehouse West,Outlet-074,6,0.709,0.5671598,MEDIUM,12,8.51,3.49,No specific opportunity identified
TRIP-00257,Dedicated,Driver-04,Warehouse East,Outlet-051,4,0.669,0.5617522,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00251,Dedicated,Driver-03,Warehouse North,Outlet-029,6,0.687,0.5614554,MEDIUM,12,8.24,3.76,No specific opportunity identified
TRIP-00243,On-Call,Driver-09,Warehouse North,Outlet-025,7,0.557,0.55391294,MEDIUM,12,6.68,5.32,N/A (On-Call trip)
TRIP-00230,Dedicated,Driver-23,Warehouse East,Outlet-025,7,0.76,0.553777,MEDIUM,12,9.12,2.880000000000001,No specific opportunity identified
TRIP-00217,Dedicated,Driver-11,Warehouse West,Outlet-067,6,0.709,0.54534495,MEDIUM,12,8.51,3.49,No specific opportunity identified
TRIP-00253,Dedicated,Driver-06,Warehouse West,Outlet-041,6,0.662,0.5434266,MEDIUM,12,7.95,4.05,No specific opportunity identified
TRIP-00204,Dedicated,Driver-19,Warehouse West,Outlet-037,6,0.768,0.54148996,MEDIUM,12,9.21,2.789999999999999,No specific opportunity identified
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-009,8,0.728,0.53607565,MEDIUM,12,8.73,3.2699999999999996,No specific opportunity identified
TRIP-00229,Dedicated,Driver-08,Warehouse West,Outlet-014,6,0.669,0.5320772,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00252,Dedicated,Driver-24,Warehouse North,Outlet-007,6,0.766,0.5319663,MEDIUM,12,9.19,2.8100000000000005,No specific opportunity identified
