Trip ID,Risk Score,Risk Level,Capacity Status,Triggered Rule,Decision,Reason,Recommended Action
TRIP-00242,0.81,CRITICAL,Insufficient,Risk band = CRITICAL; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,CRITICAL risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00230,0.759,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00254,0.733,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00254,0.722,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00242,0.714,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00213,0.694,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00230,0.686,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00251,0.67,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00213,0.663,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00210,0.643,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00256,0.624,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
